20160112_174016;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4
63617645;1.728;2.748;1.605;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617655;1.477;2.261;1.371;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617665;1.512;2.421;1.464;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617675;1.846;3.095;1.741;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617685;1.700;2.799;1.624;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617695;1.649;2.690;1.558;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617705;1.716;2.787;1.612;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617715;1.591;2.475;1.523;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617725;1.834;3.072;1.764;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617735;1.893;3.189;1.803;0.000;31.1;31.1;31.1;31.1;12.48;12.42;12.40;0.00
63617745;1.594;2.431;1.456;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617755;1.689;2.611;1.523;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617765;1.654;2.517;1.527;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617775;1.480;2.298;1.409;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617785;1.496;2.337;1.409;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617795;1.736;2.893;1.679;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617805;1.531;2.408;1.464;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617815;1.799;3.116;1.714;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617825;1.630;2.576;1.523;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617835;1.673;2.685;1.566;0.000;31.1;31.1;31.1;31.1;12.51;12.47;12.46;0.00
63617845;1.608;2.507;1.502;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617855;1.600;2.514;1.494;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617865;1.612;2.479;1.435;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617875;1.773;2.791;1.611;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617885;1.537;2.296;1.396;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617895;1.710;2.811;1.627;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617905;1.655;2.690;1.545;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617915;1.805;3.006;1.690;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617925;1.631;2.643;1.545;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617935;1.726;2.819;1.611;0.000;31.1;31.1;31.1;31.1;12.52;12.42;12.45;0.00
63617945;1.735;2.853;1.666;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63617955;1.754;2.884;1.658;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63617965;1.573;2.486;1.486;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63617975;1.625;2.564;1.529;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63617985;1.758;2.740;1.564;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63617995;1.518;2.267;1.381;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63618005;1.538;2.474;1.467;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63618015;1.589;2.548;1.525;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63618025;1.680;2.783;1.599;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63618035;1.743;2.814;1.596;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.42;0.00
63618045;1.600;2.513;1.486;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618055;1.623;2.595;1.533;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618065;1.863;3.154;1.776;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618075;1.615;2.548;1.506;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618085;1.604;2.548;1.533;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618095;1.592;2.435;1.451;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618105;1.553;2.318;1.400;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618115;1.517;2.239;1.381;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618125;1.667;2.712;1.564;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618135;1.517;2.361;1.435;0.000;31.1;31.1;31.1;31.1;12.49;12.45;12.45;0.00
63618145;2.012;3.401;1.871;0.000;31.1;31.1;31.1;31.1;12.58;12.48;12.51;0.00
63618155;1.560;2.468;1.482;0.000;31.1;31.1;31.1;31.1;12.58;12.48;12.51;0.00
63618165;1.647;2.574;1.529;0.000;31.1;31.1;31.1;31.1;12.58;12.48;12.51;0.00
63618175;1.691;2.746;1.619;0.000;31.1;31.1;31.1;31.1;12.58;12.48;12.51;0.00
63618185;1.786;2.903;1.678;0.000;31.1;31.1;31.1;31.1;12.58;12.48;12.51;0.00
63618195;1.769;2.872;1.659;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618205;1.777;2.930;1.659;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618215;1.584;2.431;1.456;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618225;1.553;2.333;1.394;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618235;1.608;2.423;1.464;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618245;1.682;2.770;1.589;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618255;1.777;2.883;1.695;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618265;1.828;2.985;1.691;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618275;1.596;2.563;1.495;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618285;1.623;2.583;1.527;0.000;31.1;31.1;31.1;31.1;12.49;12.43;12.43;0.00
63618295;1.622;2.511;1.478;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618305;1.622;2.550;1.486;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618315;1.842;3.085;1.779;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618325;1.626;2.526;1.494;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618335;1.575;2.390;1.420;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618345;1.488;2.226;1.357;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618355;1.508;2.284;1.408;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618365;1.528;2.468;1.435;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618375;1.803;2.979;1.717;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618385;1.736;2.808;1.611;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.45;0.00
63618395;1.731;2.790;1.614;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618405;1.554;2.454;1.465;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618415;1.621;2.552;1.496;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618425;1.695;2.779;1.610;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618435;1.754;2.880;1.657;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618445;1.821;3.005;1.700;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618455;1.739;2.704;1.575;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618465;1.538;2.314;1.418;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618475;1.487;2.267;1.406;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618485;1.632;2.697;1.559;0.000;31.1;31.1;31.1;31.1;12.50;12.45;12.47;0.00
63618495;1.803;2.948;1.697;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618505;1.744;2.905;1.623;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
