20160113_105855;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
39536545;1.924;3.353;1.847;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536555;1.743;2.865;1.570;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536565;1.676;2.677;1.531;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.43;0.00;
39536575;1.716;2.803;1.572;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536585;1.591;2.600;1.490;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536595;1.532;2.589;1.487;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536605;1.536;2.479;1.432;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536615;1.736;2.920;1.662;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536625;1.559;2.561;1.487;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536635;1.834;3.150;1.732;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536645;1.708;2.776;1.580;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536655;1.594;2.577;1.494;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536665;1.916;3.333;1.821;0.000;31.2;31.1;31.1;31.1;12.48;12.42;12.39;0.00;
39536675;1.597;2.542;1.458;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536685;1.507;2.320;1.388;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536695;1.672;2.795;1.583;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536705;1.503;2.394;1.419;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536715;1.554;2.620;1.489;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536725;1.573;2.569;1.481;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536735;1.617;2.647;1.493;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536745;1.668;2.768;1.586;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536755;1.739;2.912;1.641;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536765;1.585;2.585;1.497;0.000;31.2;31.1;31.1;31.1;12.50;12.42;12.41;0.00;
39536775;1.839;3.111;1.717;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536785;1.757;2.900;1.619;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536795;1.706;2.845;1.600;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536805;1.639;2.532;1.490;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536815;1.600;2.568;1.486;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536825;1.710;2.943;1.654;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536835;1.659;2.708;1.557;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536845;1.592;2.611;1.494;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536855;1.619;2.638;1.541;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536865;1.796;3.115;1.721;0.000;31.2;31.1;31.1;31.1;12.49;12.45;12.45;0.00;
39536875;1.652;2.751;1.570;0.000;31.2;31.1;31.1;31.1;12.53;12.45;12.40;0.00;
39536885;1.920;3.326;1.819;0.000;31.2;31.1;31.1;31.1;12.53;12.45;12.40;0.00;
39536895;1.802;2.982;1.644;0.000;31.2;31.1;31.1;31.1;12.53;12.45;12.40;0.00;
39536905;1.779;2.861;1.608;0.000;31.2;31.1;31.1;31.1;12.53;12.45;12.40;0.00;
39536915;1.554;2.419;1.402;0.000;31.2;31.1;31.1;31.1;12.53;12.45;12.40;0.00;
39536925;1.514;2.392;1.424;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
39536935;1.526;2.536;1.474;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
39536945;1.707;2.904;1.600;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
39536955;1.554;2.478;1.474;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
39536965;1.581;2.634;1.463;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
39536975;1.573;2.544;1.447;0.000;31.2;31.1;31.1;31.1;12.50;12.45;12.45;0.00;
