20160121_140442;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
50682403;1.383;2.057;1.267;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682413;1.363;1.971;1.255;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682423;1.446;2.155;1.322;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682433;1.348;1.936;1.216;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682443;1.340;1.913;1.216;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682453;1.312;1.897;1.201;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682463;1.288;1.858;1.158;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682473;1.454;2.335;1.447;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682483;1.340;2.155;1.326;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682493;1.462;2.359;1.334;0.000;31.1;31.1;31.1;31.1;12.52;12.46;12.45;0.00;
50682503;1.387;2.101;1.299;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682513;1.439;2.152;1.272;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682523;1.384;2.050;1.256;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682533;1.352;1.968;1.241;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682543;1.360;1.960;1.205;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682553;1.368;2.027;1.264;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682563;1.332;1.937;1.186;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682573;1.415;2.198;1.315;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682583;1.332;1.929;1.225;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682593;1.454;2.347;1.401;0.000;31.1;31.1;31.1;31.1;12.49;12.44;12.42;0.00;
50682603;1.410;2.268;1.315;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
50682613;1.612;2.551;1.522;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
50682623;1.465;2.249;1.358;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
50682633;1.382;2.076;1.275;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
50682643;1.379;2.033;1.248;0.000;31.1;31.1;31.1;31.1;12.55;12.48;12.49;0.00;
50682653;1.326;1.947;1.234;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
