20160121_140442;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
50682541;1.810;0.000;0.000;3.900;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682551;1.755;0.000;0.000;3.905;31.1;31.1;63.6;31.1;12.51;0.00;0.00;5.13;
50682561;1.796;0.000;0.000;3.925;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682571;1.772;0.000;0.000;3.915;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682581;1.729;0.000;0.000;3.939;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682591;1.764;0.000;0.000;3.913;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682601;1.776;0.000;0.000;3.944;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682611;1.748;0.000;0.000;3.942;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682621;1.776;0.000;0.000;3.919;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682631;1.784;0.000;0.000;3.944;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682641;1.756;0.000;0.000;3.882;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682651;1.756;0.000;0.000;3.963;31.1;31.1;54.4;31.1;12.49;0.00;0.00;5.16;
50682661;1.775;0.000;0.000;3.924;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682671;1.763;0.000;0.000;3.862;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682681;1.771;0.000;0.000;3.934;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682691;1.775;0.000;0.000;3.894;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682701;1.791;0.000;0.000;3.916;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682711;1.775;0.000;0.000;3.924;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682721;1.763;0.000;0.000;3.880;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682731;1.775;0.000;0.000;3.904;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682741;1.756;0.000;0.000;3.887;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682751;1.771;0.000;0.000;3.922;31.1;31.1;63.6;31.1;12.54;0.00;0.00;5.13;
50682761;1.790;0.000;0.000;3.920;31.1;31.1;63.2;31.1;12.53;0.00;0.00;5.14;
50682771;1.766;0.000;0.000;3.884;31.1;31.1;63.2;31.1;12.53;0.00;0.00;5.14;
50682781;1.782;0.000;0.000;3.943;31.1;31.1;63.2;31.1;12.53;0.00;0.00;5.14;
50682791;1.790;0.000;0.000;3.879;31.1;31.1;63.2;31.1;12.53;0.00;0.00;5.14;
50682801;1.770;0.000;0.000;3.920;31.1;31.1;63.2;31.1;12.53;0.00;0.00;5.14;
50682811;1.775;0.000;0.000;3.925;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682821;1.771;0.000;0.000;3.864;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682831;1.751;0.000;0.000;3.904;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682841;1.771;0.000;0.000;3.917;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682851;1.799;0.000;0.000;3.705;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682861;1.771;0.000;0.000;3.965;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682871;1.767;0.000;0.000;3.916;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682881;1.763;0.000;0.000;3.940;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682891;1.775;0.000;0.000;3.937;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682901;1.779;0.000;0.000;3.944;31.1;31.1;54.0;31.1;12.51;0.00;0.00;5.13;
50682911;1.790;0.000;0.000;3.935;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682921;1.774;0.000;0.000;3.940;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682931;1.794;0.000;0.000;3.937;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682941;1.770;0.000;0.000;3.897;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682951;1.778;0.000;0.000;3.937;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682961;1.782;0.000;0.000;3.949;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682971;1.774;0.000;0.000;3.900;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682981;1.778;0.000;0.000;3.951;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50682991;1.782;0.000;0.000;3.951;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50683001;1.774;0.000;0.000;3.929;31.1;31.1;63.2;31.1;12.56;0.00;0.00;5.12;
50683011;1.785;0.000;0.000;3.991;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683021;1.793;0.000;0.000;3.980;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683031;1.777;0.000;0.000;3.969;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683041;1.805;0.000;0.000;3.979;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683051;1.785;0.000;0.000;3.969;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683061;1.773;0.000;0.000;3.972;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683071;1.789;0.000;0.000;3.977;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683081;1.789;0.000;0.000;3.966;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683091;1.777;0.000;0.000;3.996;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683101;1.789;0.000;0.000;3.938;31.1;31.1;62.8;31.1;12.58;0.00;0.00;5.17;
50683111;1.788;0.000;0.000;3.980;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683121;1.776;0.000;0.000;3.980;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683131;1.772;0.000;0.000;3.915;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683141;1.748;0.000;0.000;3.974;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683151;1.772;0.000;0.000;3.929;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683161;1.768;0.000;0.000;3.914;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683171;1.772;0.000;0.000;3.976;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683181;1.764;0.000;0.000;3.956;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683191;1.756;0.000;0.000;3.982;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683201;1.760;0.000;0.000;3.940;31.1;31.1;62.9;31.1;12.49;0.00;0.00;5.15;
50683211;1.775;0.000;0.000;3.926;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683221;1.771;0.000;0.000;3.982;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683231;1.775;0.000;0.000;3.931;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683241;1.767;0.000;0.000;3.988;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683251;1.783;0.000;0.000;3.976;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683261;1.787;0.000;0.000;3.942;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683271;1.755;0.000;0.000;3.980;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683281;1.771;0.000;0.000;3.967;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683291;1.771;0.000;0.000;3.988;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683301;1.767;0.000;0.000;3.954;31.1;31.1;62.3;31.1;12.51;0.00;0.00;5.15;
50683311;1.777;0.000;0.000;3.970;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683321;1.785;0.000;0.000;3.974;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683331;1.762;0.000;0.000;3.937;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683341;1.769;0.000;0.000;3.996;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683351;1.777;0.000;0.000;3.974;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683361;1.767;0.000;0.000;3.939;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683371;1.783;0.000;0.000;3.996;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683381;1.779;0.000;0.000;3.980;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683391;1.759;0.000;0.000;3.967;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683401;1.767;0.000;0.000;3.979;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683411;1.767;0.000;0.000;3.960;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683421;1.763;0.000;0.000;3.963;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683431;1.763;0.000;0.000;3.608;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683441;1.775;0.000;0.000;3.960;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683451;1.779;0.000;0.000;3.991;31.1;31.1;63.0;31.1;12.54;0.00;0.00;5.15;
50683461;1.737;0.000;0.000;3.953;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683471;1.820;0.000;0.000;3.912;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683481;1.812;0.000;0.000;3.997;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683491;1.792;0.000;0.000;3.940;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683501;1.788;0.000;0.000;3.977;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683511;1.772;0.000;0.000;3.203;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683521;1.780;0.000;0.000;3.208;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683531;1.764;0.000;0.000;3.203;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683541;1.757;0.000;0.000;3.209;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683551;1.776;0.000;0.000;3.204;31.1;31.1;62.7;31.1;12.52;0.00;0.00;5.15;
50683561;1.785;0.000;0.000;3.200;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683571;1.785;0.000;0.000;3.194;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683581;1.781;0.000;0.000;3.194;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683591;1.769;0.000;0.000;3.218;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683601;1.773;0.000;0.000;3.226;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683611;1.785;0.000;0.000;3.909;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683621;1.769;0.000;0.000;3.973;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683631;1.769;0.000;0.000;3.933;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683641;1.769;0.000;0.000;4.002;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683651;1.769;0.000;0.000;3.940;31.1;31.1;53.5;31.1;12.50;0.00;0.00;5.15;
50683661;1.773;0.000;0.000;3.933;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683671;1.773;0.000;0.000;3.996;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683681;1.762;0.000;0.000;3.948;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683691;1.785;0.000;0.000;3.974;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683701;1.758;0.000;0.000;3.960;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683711;1.766;0.000;0.000;3.946;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683721;1.758;0.000;0.000;3.970;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683731;1.766;0.000;0.000;3.954;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683741;1.766;0.000;0.000;3.994;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683751;1.773;0.000;0.000;3.939;31.1;31.1;63.0;31.1;12.50;0.20;0.00;5.15;
50683761;1.776;0.000;0.000;3.960;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683771;1.761;0.000;0.000;3.984;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683781;1.784;0.000;0.000;3.933;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683791;1.768;0.000;0.000;3.976;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683801;1.776;0.000;0.000;3.990;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683811;1.768;0.000;0.000;3.939;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683821;1.761;0.000;0.000;3.979;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683831;1.761;0.000;0.000;3.991;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683841;1.784;0.000;0.000;3.957;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683851;1.753;0.000;0.000;3.974;31.1;31.1;53.9;31.1;12.52;0.00;0.00;5.15;
50683861;1.776;0.000;0.000;3.974;31.1;31.1;54.1;31.1;12.52;0.00;0.00;5.14;
50683871;1.804;0.000;0.000;3.952;31.1;31.1;54.1;31.1;12.52;0.00;0.00;5.14;
50683881;1.761;0.000;0.000;3.972;31.1;31.1;54.1;31.1;12.52;0.00;0.00;5.14;
50683891;1.796;0.000;0.000;3.884;31.1;31.1;54.1;31.1;12.52;0.00;0.00;5.14;
50683901;1.761;0.000;0.000;3.983;31.1;31.1;54.1;31.1;12.52;0.00;0.00;5.14;
50683911;1.786;0.000;0.000;3.958;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683921;1.786;0.000;0.000;3.906;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683931;1.758;0.000;0.000;3.967;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683941;1.806;0.000;0.000;3.920;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683951;1.754;0.000;0.000;3.960;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683961;1.770;0.000;0.000;3.967;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683971;1.770;0.000;0.000;3.932;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683981;1.774;0.000;0.000;3.960;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50683991;1.766;0.000;0.000;3.927;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50684001;1.758;0.000;0.000;3.966;31.1;31.1;54.6;31.1;12.56;0.00;0.00;5.14;
50684011;1.779;0.000;0.000;3.973;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684021;1.759;0.000;0.000;3.931;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684031;1.771;0.000;0.000;3.984;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684041;1.756;0.000;0.000;3.933;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684051;1.771;0.000;0.000;3.962;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684061;1.771;0.000;0.000;3.977;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684071;1.791;0.000;0.000;3.922;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684081;1.759;0.000;0.000;3.965;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684091;1.791;0.000;0.000;3.953;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684101;1.763;0.000;0.000;3.976;31.1;31.1;64.0;31.1;12.54;0.00;0.00;5.15;
50684111;1.760;0.000;0.000;3.958;31.1;31.1;54.5;31.1;12.57;0.00;0.00;5.14;
50684121;1.772;0.000;0.000;3.946;31.1;31.1;54.5;31.1;12.57;0.00;0.00;5.14;
50684131;1.776;0.000;0.000;3.963;31.1;31.1;54.5;31.1;12.57;0.00;0.00;5.14;
50684141;1.776;0.000;0.000;3.923;31.1;31.1;54.5;31.1;12.57;0.00;0.00;5.14;
