20160122_152428;12V-HDD;-;-;5V-HDD;T1;T2;T3;T4;V1;V2;V3;V4;
55469225;1.688;0.000;0.000;3.249;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469235;1.712;0.000;0.000;3.262;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469245;1.743;0.000;0.000;3.251;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469255;1.735;0.000;0.000;3.260;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469265;1.712;0.000;0.000;3.254;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469275;1.724;0.000;0.000;3.334;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469285;1.751;0.000;0.000;4.099;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469295;1.708;0.000;0.000;4.067;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469305;1.720;0.000;0.000;4.110;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469315;1.724;0.000;0.000;4.079;31.1;31.1;63.8;31.1;12.51;0.00;0.00;5.15;
55469325;1.738;0.000;0.000;4.044;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469335;1.718;0.000;0.000;4.101;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469345;1.710;0.000;0.000;4.064;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469355;1.714;0.000;0.000;4.062;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469365;1.722;0.000;0.000;4.091;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469375;1.710;0.000;0.000;4.057;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469385;1.738;0.000;0.000;4.070;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469395;1.702;0.000;0.000;4.104;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469405;1.710;0.000;0.000;4.071;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469415;1.722;0.000;0.000;4.082;31.1;31.1;63.2;31.1;12.50;0.00;0.00;5.13;
55469425;1.720;0.000;0.000;4.094;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469435;1.731;0.000;0.000;4.065;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469445;1.712;0.000;0.000;4.094;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469455;1.731;0.000;0.000;4.072;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469465;1.704;0.000;0.000;4.103;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469475;1.704;0.000;0.000;4.078;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469485;1.735;0.000;0.000;4.078;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469495;1.747;0.000;0.000;4.043;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469505;1.735;0.000;0.000;4.046;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469515;1.751;0.000;0.000;4.111;31.1;31.1;54.1;31.1;12.51;0.00;0.00;5.14;
55469525;1.741;0.000;0.000;4.125;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469535;1.721;0.000;0.000;4.080;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469545;1.757;0.000;0.000;4.132;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469555;1.737;0.000;0.000;4.066;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469565;1.745;0.000;0.000;4.126;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469575;1.761;0.000;0.000;4.126;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469585;1.745;0.000;0.000;4.058;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469595;1.713;0.000;0.000;4.135;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469605;1.745;0.000;0.000;4.108;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469615;1.741;0.000;0.000;4.131;31.1;31.1;54.7;31.1;12.55;0.00;0.00;5.17;
55469625;1.741;0.000;0.000;4.142;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469635;1.737;0.000;0.000;4.097;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469645;1.765;0.000;0.000;4.111;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469655;1.761;0.000;0.000;4.083;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469665;1.710;0.000;0.000;4.139;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469675;1.765;0.000;0.000;4.104;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469685;1.761;0.000;0.000;4.101;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469695;1.729;0.000;0.000;4.121;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469705;1.741;0.000;0.000;4.095;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469715;1.749;0.000;0.000;4.115;31.1;31.1;54.8;31.1;12.55;0.00;0.00;5.17;
55469725;1.737;0.000;0.000;4.118;31.1;31.1;55.0;31.1;12.52;0.00;0.00;5.15;
55469735;1.757;0.000;0.000;4.048;31.1;31.1;55.0;31.1;12.52;0.00;0.00;5.15;
55469745;1.745;0.000;0.000;4.123;31.1;31.1;55.0;31.1;12.52;0.00;0.00;5.15;
55469755;1.764;0.000;0.000;4.116;31.1;31.1;55.0;31.1;12.52;0.00;0.00;5.15;
55469765;1.737;0.000;0.000;4.092;31.1;31.1;55.0;31.1;12.52;0.00;0.00;5.15;
55469775;1.750;0.000;0.000;4.112;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469785;1.722;0.000;0.000;4.085;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469795;1.746;0.000;0.000;4.068;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469805;1.762;0.000;0.000;4.088;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469815;1.750;0.000;0.000;4.040;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469825;1.711;0.000;0.000;3.824;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469835;1.750;0.000;0.000;4.092;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469845;1.730;0.000;0.000;4.085;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469855;1.695;0.000;0.000;4.092;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469865;1.715;0.000;0.000;4.094;31.1;31.1;55.2;31.1;12.53;0.00;0.00;5.14;
55469875;1.738;0.000;0.000;4.096;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469885;1.715;0.000;0.000;4.120;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469895;1.707;0.000;0.000;4.098;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469905;1.707;0.000;0.000;4.106;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469915;1.762;0.000;0.000;4.064;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469925;1.715;0.000;0.000;4.098;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469935;1.711;0.000;0.000;4.115;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469945;1.722;0.000;0.000;4.079;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469955;1.719;0.000;0.000;4.130;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469965;1.726;0.000;0.000;4.061;31.1;31.1;65.2;31.1;12.53;0.00;0.00;5.15;
55469975;1.731;0.000;0.000;4.102;31.1;31.1;55.1;31.1;12.51;0.00;0.00;5.16;
55469985;1.716;0.000;0.000;4.144;31.1;31.1;55.1;31.1;12.51;0.00;0.00;5.16;
